                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 2.3979,                 4.8173,                 2.8759,                      0,                      0,                      0,                      0,                  3.067,                 6.1212,                 3.9732,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                 2.4538,                   4.75,                 3.3063,                      0,                      0,                      0,                      0,                  3.067,                 6.1212,                 3.9732,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                 2.6867,                 5.0851,                 3.4297,                      0,                      0,                      0,                      0,                 3.0606,                 6.1161,                 3.9755,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                 2.3763,                 5.0586,                 2.9925,                      0,                      0,                      0,                      0,                 3.0606,                 6.1161,                 3.9755,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                 2.5604,                 4.9818,                 3.0194,                      0,                      0,                      0,                      0,                 3.0606,                 6.1161,                 3.9755,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                 2.4152,                 5.0992,                 3.1739,                      0,                      0,                      0,                      0,                 3.0565,                 6.1001,                 3.9827,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                 2.7616,                 4.7962,                 3.3249,                      0,                      0,                      0,                      0,                 3.0565,                 6.1001,                 3.9827,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                 2.6687,                  4.827,                 3.4015,                      0,                      0,                      0,                      0,                 3.0565,                 6.1001,                 3.9827,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                 2.4255,                 4.7818,                 2.9193,                      0,                      0,                      0,                      0,                 3.0792,                 6.1019,                  3.991,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                 2.5804,                  4.885,                  3.386,                      0,                      0,                      0,                      0,                 3.0792,                 6.1019,                  3.991,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                 2.7626,                 4.9201,                 3.2153,                      0,                      0,                      0,                      0,                 3.0792,                 6.1019,                  3.991,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                 2.6824,                 4.9448,                 3.2519,                      0,                      0,                      0,                      0,                 3.0934,                 6.0982,                 4.0003,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                 2.0658,                  4.922,                 2.8864,                      0,                      0,                      0,                      0,                 3.0934,                 6.0982,                 4.0003,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                 2.3083,                 4.9093,                 3.0915,                      0,                      0,                      0,                      0,                 3.0934,                 6.0982,                 4.0003,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                 2.5966,                 4.9258,                 3.0663,                      0,                      0,                      0,                      0,                 3.0925,                 6.0965,                 4.0019,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                 2.5592,                 4.9145,                 3.5032,                      0,                      0,                      0,                      0,                 3.0925,                 6.0965,                 4.0019,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                 2.5589,                 5.0032,                 3.2993,                      0,                      0,                      0,                      0,                 3.0925,                 6.0965,                 4.0019,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                 2.6727,                 4.9793,                  3.335,                      0,                      0,                      0,                      0,                 3.1145,                 6.0917,                 4.0042,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                 2.8743,                 5.0646,                 3.4979,                      0,                      0,                      0,                      0,                 3.1145,                 6.0917,                 4.0042,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                 2.4068,                 5.0521,                  3.274,                      0,                      0,                      0,                      0,                 3.1145,                 6.0917,                 4.0042,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                 2.4105,                 4.7786,                 3.2154,                      0,                      0,                      0,                      0,                 3.1145,                 6.0917,                 4.0042,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                 2.3674,                 4.8955,                 3.0992,                      0,                      0,                      0,                      0,                 3.1215,                   6.09,                 4.0067,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                 2.2699,                 5.1397,                   3.36,                      0,                      0,                      0,                      0,                 3.1215,                   6.09,                 4.0067,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                 2.3232,                 5.0188,                 3.0039,                      0,                      0,                      0,                      0,                 3.1215,                   6.09,                 4.0067,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                 2.4775,                 5.5088,                 3.5913,                      0,                      0,                      0,                      0,                 3.1215,                   6.09,                 4.0067,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                 2.4789,                 5.2182,                 3.1938,                      0,                      0,                      0,                      0,                 3.0892,                 6.1023,                 3.9967,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                 2.6756,                 5.2076,                 3.3005,                      0,                      0,                      0,                      0,                 3.0892,                 6.1023,                 3.9967,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                 2.3643,                 5.4029,                 3.5476,                      0,                      0,                      0,                      0,                 3.0892,                 6.1023,                 3.9967,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                 2.8344,                 5.1227,                 3.5193,                      0,                      0,                      0,                      0,                 3.0892,                 6.1023,                 3.9967,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                 2.5052,                 5.2806,                 3.5632,                      0,                      0,                      0,                      0,                 3.0404,                 6.1088,                 3.9898,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                 2.5878,                 4.9396,                 3.2538,                      0,                      0,                      0,                      0,                 3.0404,                 6.1088,                 3.9898,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                 2.5989,                 5.1212,                 3.3762,                      0,                      0,                      0,                      0,                 3.0404,                 6.1088,                 3.9898,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                 2.3561,                 5.4205,                 3.5895,                      0,                      0,                      0,                      0,                 3.0404,                 6.1088,                 3.9898,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                 2.7409,                 5.1676,                 3.5006,                      0,                      0,                      0,                      0,                 3.0369,                 6.1125,                 3.9865,             2.3444e-06,             2.3444e-06,             2.3444e-06
